Hierarchy,Leaf,Description,Source / Example,
Remember -> Recognition -> Object Recognition -> Text Attribute Recognition -> Text,Newletter,"This task evaluates the VLM's ability to precisely identify and recall 'Newletter' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Newletter' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Newletter' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Newletter' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Newletter' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Text Attribute Recognition -> Text,Power Point Slides,"This task evaluates the VLM's ability to precisely identify and recall 'Power Point Slides' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Power Point Slides' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Power Point Slides' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Power Point Slides' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Power Point Slides' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Text Attribute Recognition -> Text,Handwriting,"This task evaluates the VLM's ability to precisely identify and recall 'Handwriting' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Handwriting' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Handwriting' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Handwriting' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Handwriting' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Text Attribute Recognition -> Text,Documents,"This task evaluates the VLM's ability to precisely identify and recall 'Documents' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Documents' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Documents' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Documents' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Documents' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Text Attribute Recognition -> Text,Books,"This task evaluates the VLM's ability to precisely identify and recall 'Books' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Books' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Books' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Books' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Books' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Text Attribute Recognition -> Text,Lines,"This task evaluates the VLM's ability to precisely identify and recall 'Lines' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Lines' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Lines' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Lines' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Lines' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Text Attribute Recognition -> Text,Scene Text,"This task evaluates the VLM's ability to precisely identify and recall 'Scene Text' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Scene Text' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Scene Text' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Scene Text' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Scene Text' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Text Attribute Recognition,Emoji,"This task evaluates the VLM's ability to precisely identify and recall 'Emoji' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Emoji' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Emoji' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Emoji' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Emoji' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Text Attribute Recognition,Number,"This task evaluates the VLM's ability to precisely identify and recall 'Number' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Number' from similar objects and background noise based on distinct visual features and learned categories.
","Image Context: A high-resolution, busy scene where 'Number' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Number' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Number' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Text Attribute Recognition,Music,"This task evaluates the VLM's ability to precisely identify and recall 'Music' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Music' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Music' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Music' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Music' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Text Attribute Recognition,Formula,"This task evaluates the VLM's ability to precisely identify and recall 'Formula' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Formula' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Formula' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Formula' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Formula' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Attribute Recognition,Color,"This task evaluates the VLM's fundamental perceptual layer. It tests the model's ability to recognize and name the specific attribute Color as a discrete property of a standard object, requiring only basic visual identification without contextual reasoning.","Image Context: A high-resolution, busy scene where 'Color' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Color' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Color' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Attribute Recognition,Shape,"This task evaluates the VLM's fundamental perceptual layer. It tests the model's ability to recognize and name the specific attribute Shape as a discrete property of a standard object, requiring only basic visual identification without contextual reasoning.","Image Context: A high-resolution, busy scene where 'Shape' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Shape' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Shape' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Attribute Recognition,Size,"This task evaluates the VLM's fundamental perceptual layer. It tests the model's ability to recognize and name the specific attribute size as a discrete property of a standard object, requiring only basic visual identification without contextual reasoning.","Image Context: A high-resolution, busy scene where 'Size' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Size' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Size' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Attribute Recognition,Texture,"This task evaluates the VLM's fundamental perceptual layer. It tests the model's ability to recognize and name the specific attribute texture as a discrete property of a standard object, requiring only basic visual identification without contextual reasoning.","Image Context: A high-resolution, busy scene where 'Texture' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Texture' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Texture' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Attribute Recognition,Artistic Style,"This task evaluates the VLM's fundamental perceptual layer. It tests the model's ability to recognize and name the specific attribute artistic style as a discrete property of a standard object, requiring only basic visual identification without contextual reasoning.","Image Context: A high-resolution, busy scene where 'Artistic Style' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Artistic Style' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Artistic Style' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Symbol Recognition,Traffic Signs,"This task evaluates the VLM's ability to precisely identify and recall 'Traffic Signs' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Traffic Signs' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Traffic Signs' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Traffic Signs' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Traffic Signs' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Symbol Recognition,Safety Symbols,"This task evaluates the VLM's ability to precisely identify and recall 'Safety Symbols' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Safety Symbols' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Safety Symbols' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Safety Symbols' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Safety Symbols' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Symbol Recognition,Logos & Brands,"This task evaluates the VLM's ability to precisely identify and recall 'Logos & Brands' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Logos & Brands' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Logos & Brands' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Logos & Brands' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Logos & Brands' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Symbol Recognition,App & Tech Icons,"This task evaluates the VLM's ability to precisely identify and recall 'App & Tech Icons' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'App & Tech Icons' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'App & Tech Icons' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'App & Tech Icons' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'App & Tech Icons' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Symbol Recognition,Currency Symbols,"This task evaluates the VLM's ability to precisely identify and recall 'Currency Symbols' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Currency Symbols' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Currency Symbols' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Currency Symbols' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Currency Symbols' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Symbol Recognition,Religious Symbols,"This task evaluates the VLM's ability to precisely identify and recall 'Religious Symbols' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Religious Symbols' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Religious Symbols' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Religious Symbols' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Religious Symbols' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Symbol Recognition,Flags,"This task evaluates the VLM's ability to precisely identify and recall 'Flags' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Flags' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Flags' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Flags' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Flags' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Symbol Recognition,Astrological & Zodiac Signs,"This task evaluates the VLM's ability to precisely identify and recall 'Astrological & Zodiac Signs' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Astrological & Zodiac Signs' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Astrological & Zodiac Signs' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Astrological & Zodiac Signs' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Astrological & Zodiac Signs' is actually a visually similar but different category.",
Remember -> Recognition -> Activity Recognition,Individual activities,"This task evaluates the VLM's ability to precisely identify and recall 'Individual activities' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Individual activities' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Individual activities' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Individual activities' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Individual activities' is actually a visually similar but different category.",
Remember -> Recognition -> Activity Recognition,Interactions,"This task evaluates the VLM's ability to precisely identify and recall 'Interactions' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Interactions' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Interactions' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Interactions' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Interactions' is actually a visually similar but different category.",
